Société;Date;CodeClient;NomClient;Categorie;Adresse;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
B1;07/10/2014 13:30:52;000009;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF368801;10/09/2014;10/10/2014;000368801;EUR;456,54
B1;07/10/2014 13:30:52;000009;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF368802;10/09/2014;10/10/2014;000368802;EUR;232,77
B1;07/10/2014 13:30:52;000009;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF374054;02/10/2014;01/11/2014;000374054;EUR;57,11
B1;07/10/2014 13:30:52;000010;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF368401;05/09/2014;05/10/2014;000368401;EUR;131,21
B1;07/10/2014 13:30:52;000010;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF368803;10/09/2014;10/10/2014;000368803;EUR;361,12
B1;07/10/2014 13:30:52;000011;PCIE DE SYLVA;PHARMACIENS;RUE ERNEST SALU_1;1090;JETTE;BE;FRA;0032/24785303; ;PF392215;20/06/2013;20/07/2013;000392215;EUR;-11,44
B1;07/10/2014 13:30:52;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371243;19/09/2014;19/10/2014;000371243;EUR;458,91
B1;07/10/2014 13:30:52;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371732;23/09/2014;23/10/2014;000371732;EUR;480,96
B1;07/10/2014 13:30:52;000505;CLINIQUE & MATERNITE STE-ELISABETH;HOPITAUX/CLINIQUES;PLACE LOUISE GODIN_15;5000*2;NAMUR;BE;FRA;0032/81720456; ;PF367932;03/09/2014;02/12/2014;000367932;EUR;108,68
B1;07/10/2014 13:30:52;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF356575;21/05/2014;29/08/2014;000356575;EUR;512,37
B1;07/10/2014 13:30:52;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF363868;04/08/2014;29/11/2014;000363868;EUR;341,4
B1;07/10/2014 13:30:52;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF445312;08/09/2014;08/09/2014;000445312;EUR;-512,37
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF361674;04/07/2014;02/10/2014;000361674;EUR;246,57
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF361675;04/07/2014;02/10/2014;000361675;EUR;236,71
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF362944;23/07/2014;21/10/2014;000362944;EUR;284,5
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363845;01/08/2014;30/10/2014;000363845;EUR;284,5
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363846;01/08/2014;30/10/2014;000363846;EUR;273,12
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF364152;07/08/2014;05/11/2014;000364152;EUR;284,5
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF367689;02/09/2014;01/12/2014;000367689;EUR;246,57
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368195;04/09/2014;29/12/2014;000368195;EUR;341,4
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368577;08/09/2014;07/12/2014;000368577;EUR;284,5
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF373891;01/10/2014;30/12/2014;000373891;EUR;246,57
B1;07/10/2014 13:30:52;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF374577;06/10/2014;04/01/2015;000374577;EUR;273,12
B1;07/10/2014 13:30:52;000547;AZ ST-DIMPNA;HOPITAUX/CLINIQUES;JB STESSENSSTRAAT_2;2440;GEEL;BE;NED;0032/14577449; ;PF368578;08/09/2014;08/10/2014;000368578;EUR;117,98
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF354241;30/04/2014;29/06/2014;000354241;EUR;358,66
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF358801;02/06/2014;29/08/2014;000358801;EUR;325,88
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF360037;20/06/2014;29/08/2014;000360037;EUR;543,14
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF364251;08/08/2014;30/10/2014;000364251;EUR;325,88
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF365200;21/08/2014;30/10/2014;000365200;EUR;398,3
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF366567;27/08/2014;30/10/2014;000366567;EUR;325,88
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF367344;29/08/2014;30/10/2014;000367344;EUR;325,88
B1;07/10/2014 13:30:52;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF372061;24/09/2014;29/11/2014;000372061;EUR;325,88
