Société;Date;CodeClient;NomClient;Categorie;Adresse;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
B1;7/10/14 13:30;9;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF368801;10/09/14;10/10/14;368801;EUR;456,54
B1;7/10/14 13:30;9;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF368802;10/09/14;10/10/14;368802;EUR;232,77
B1;7/10/14 13:30;9;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF374054;2/10/14;1/11/14;374054;EUR;57,11
B1;7/10/14 13:30;10;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF368401;5/09/14;5/10/14;368401;EUR;131,21
B1;7/10/14 13:30;10;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF368803;10/09/14;10/10/14;368803;EUR;361,12
B1;7/10/14 13:30;11;PCIE DE SYLVA;PHARMACIENS;RUE ERNEST SALU_1;1090;JETTE;BE;FRA;0032/24785303; ;PF392215;20/06/13;20/07/13;392215;EUR;-11,44
B1;7/10/14 13:30;12;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371243;19/09/14;19/10/14;371243;EUR;458,91
B1;7/10/14 13:30;12;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371732;23/09/14;23/10/14;371732;EUR;480,96
B1;7/10/14 13:30;505;CLINIQUE & MATERNITE STE-ELISABETH;HOPITAUX/CLINIQUES;PLACE LOUISE GODIN_15;5000*2;NAMUR;BE;FRA;0032/81720456; ;PF367932;3/09/14;2/12/14;367932;EUR;108,68
B1;7/10/14 13:30;517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF356575;21/05/14;29/08/14;356575;EUR;512,37
B1;7/10/14 13:30;517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF363868;4/08/14;29/11/14;363868;EUR;341,4
B1;7/10/14 13:30;517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF445312;8/09/14;8/09/14;445312;EUR;-512,37
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF361674;4/07/14;2/10/14;361674;EUR;246,57
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF361675;4/07/14;2/10/14;361675;EUR;236,71
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF362944;23/07/14;21/10/14;362944;EUR;284,5
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363845;1/08/14;30/10/14;363845;EUR;284,5
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363846;1/08/14;30/10/14;363846;EUR;273,12
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF364152;7/08/14;5/11/14;364152;EUR;284,5
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF367689;2/09/14;1/12/14;367689;EUR;246,57
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368195;4/09/14;29/12/14;368195;EUR;341,4
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368577;8/09/14;7/12/14;368577;EUR;284,5
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF373891;1/10/14;30/12/14;373891;EUR;246,57
B1;7/10/14 13:30;521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF374577;6/10/14;4/01/15;374577;EUR;273,12
B1;7/10/14 13:30;547;AZ ST-DIMPNA;HOPITAUX/CLINIQUES;JB STESSENSSTRAAT_2;2440;GEEL;BE;NED;0032/14577449; ;PF368578;8/09/14;8/10/14;368578;EUR;117,98
B1;7/10/14 13:30;551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF354241;30/04/14;29/06/14;354241;EUR;358,66
