Société;Date;CodeClient;NomClient;Categorie;Adresse;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
B1;3/12/2014 09:38;000009;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF377928;7/11/2014;7/12/2014;377928;EUR;818,52
B1;3/12/2014 09:38;000010;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF379598;27/11/2014;27/12/2014;379598;EUR;82,36
B1;3/12/2014 09:38;000011;PCIE DE SYLVA;PHARMACIENS;RUE ERNEST SALU_1;1090;JETTE;BE;FRA;0032/24785303; ;PF392215;20/06/2013;20/07/2013;392215;EUR;-11,44
B1;3/12/2014 09:38;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371732;23/09/2014;23/10/2014;371732;EUR;480,96
B1;3/12/2014 09:38;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF447909;27/11/2014;27/11/2014;447909;EUR;-33,12
B1;3/12/2014 09:38;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF447910;27/11/2014;27/11/2014;447910;EUR;-6,28
B1;3/12/2014 09:38;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF447911;27/11/2014;27/12/2014;447911;EUR;-79,05
B1;3/12/2014 09:38;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF379790;28/11/2014;28/12/2014;379790;EUR;180,85
B1;3/12/2014 09:38;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF363868;4/08/2014;29/11/2014;363868;EUR;341,4
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363845;1/08/2014;30/10/2014;363845;EUR;284,5
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF364152;7/08/2014;5/11/2014;364152;EUR;284,5
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF367689;2/09/2014;1/12/2014;367689;EUR;246,57
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368195;4/09/2014;29/12/2014;368195;EUR;341,4
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368577;8/09/2014;7/12/2014;368577;EUR;284,5
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF373891;1/10/2014;30/12/2014;373891;EUR;246,57
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF374577;6/10/2014;4/01/2015;374577;EUR;273,12
B1;3/12/2014 09:38;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF375506;15/10/2014;13/01/2015;375506;EUR;246,57
