CUSTNAME;STREET;ZIPCODE;CITY;COUNTRY;VATNUMB;CUSTLANG;COMP;CUSTNUMB;DOCNUMB;DOCAMOUNT;DOCDATE;DUEDATE;PHONENUMBER;EMAILADDRESS;COMMENTS
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF111000;912,60;18/04/2014;18/05/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF351612;511,34;17/04/2014;17/05/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF351254;336,86;08/04/2014;08/05/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF350641;470,39;26/03/2014;25/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF349750;51,06;25/03/2014;24/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF349491;242,06;25/03/2014;24/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF349492;382,89;24/03/2014;23/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF349079;-112,48;10/04/2014;10/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF442254;6.198,63;03/03/2014;02/04/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF345754;-145,20;18/03/2014;18/03/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF441683;64,58;28/01/2014;27/02/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF341906;687,40;23/01/2014;22/02/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF341457;1.428,70;14/01/2014;13/02/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF340367;112,48;14/01/2014;13/02/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF340370;903,43;18/12/2013;17/01/2014;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF337214;741,31;25/11/2013;25/12/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF334965;2.079,94;08/10/2013;07/11/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF330255;278,20;13/09/2013;13/10/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF325844;-309,99;13/09/2013;13/10/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF393865;275,28;26/08/2013;25/09/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF322113;570,95;12/08/2013;11/09/2013;1111111;;PHIN
APOTHEEK ANTVERPIA;BOECHOUTSESTEENWEG_13;2540;HOVE;BE;BE0404751702;NL;PIERRE FABRE;001001;PF320414;336,12;22/03/2013;21/04/2013;1111111;;PHIN
LLOYDSPHARMA GROUP  NV/SA;AVENUE PASTEUR_2;1300*2;WAVRE;BE;BE0436826929;FR;PIERRE FABRE;001200;PF308214;142,61;22/04/2014;21/06/2014;2222222;;LLOY
LLOYDSPHARMA GROUP  NV/SA;AVENUE PASTEUR_2;1300*2;WAVRE;BE;BE0436826929;FR;PIERRE FABRE;001200;PF351825;30,67;22/04/2014;21/06/2014;2222222;;LLOY
LLOYDSPHARMA GROUP  NV/SA;AVENUE PASTEUR_2;1300*2;WAVRE;BE;BE0436826929;FR;PIERRE FABRE;001200;PF351826;2.592,09;22/04/2014;21/06/2014;2222222;;LLOY
