Num;"Date ouverture";"Resp ouverture";"Date saisie";"Respsaisie";Date r_solution;"Resp r_solution";Diff Open close;Mois;"Ncmde";"N≠ Facture";"Total net facture";Montant Net _ cr_diter;N client;"Cat_gorie client ";"D_nominationclient";Ref client;N≠bon retour;Identif. classement;N≠ fax client;N≠ tel  client;"Causelitige";Dep cause ltige;Description litige;;Nom du d_l_gue;Marque;Nom encodeuse;"Codearticle";D_nomination article;"Quantit_Produits";Description litige;Departement 1;Date action 1;Description 1;Check 1;Departement 2;Date action 2;Description 2;Check2;Close date;Check;Contr_le logistique ;Extra info;N≠ note de cr_dit;"Nouvellefacture";Code solution;"Date Relanc_";NCR MED NOMBRE;Dossier d_gat ;Ref dossier d_gats;Info NC transporteur 
2178;27/05/14;IMAN;1/07/14;AUDREY;2/07/14;ENZA;cloture;2014/05;80001131;356402;145,63;13,75;3430;3. PHARMA;V-PHARMA (PPV);;;V GRO;.;0032/87322970;6. Erreur admin;Commercial;Erreur encodage;6. Erreur adminCommercialErreur encodage;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;PLUSIEURS;0;24;;ADV;2/07/14;VOIR ACTION 2;1/07/14;ADV;3/07/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;;3/07/14;;;;0040001493-7;0030019640-3;11. NC + refac;;;;;
2179;11/06/14;IMAN;1/07/14;IMAN;9/10/14;Audrey;cloture;2014/06;30017472;359182;454,16;54,75;4000024;1. COIFFEURS;HAARVORMGEVING JACQUELINE KROON;;201400419;L COIF;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;RIANNE BROUWER;FURTERER;ELECTRONIQUE;511548;F-KARITE HUILE 24AMP;2;;ADV;2/07/14;Facturation des produits livr_s en trop T1;1/07/14;Transp;2/07/14;Demande enlèvement transporteur;27/08/14;14/07/14;;;CL PAS CDE 2 X KARITE HUIE 24 AMP - RETOUR + NC;40002325;;13. NC voir retour stock;;;;;
2180;1/07/14;IMAN;1/07/14;IMAN;29/08/14;ARIANE;cloture;2014/07;300167931;357966;649,39;;10147;3. PHARMA;APOT ILSE SEYNAEVE BVBA;;;S PH; ;0032/56755550;6. Erreur admin;Commercial;Erreur encodage;6. Erreur adminCommercialErreur encodage;DOMINIQUE AUDENAERT;FURTERER;ELECTRONIQUE;PLUSIEURS;0;169;;ADV;2/07/14;VOIR ACTION 2;1/07/14;ADV;3/07/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;10/07/14;3/07/14;10/07/14;;PAS RECU RELISE DE 10%;0040001573-7;0030020519-3;11. NC + refac;;;;;
2181;30/06/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/06;30018617;360868;881,4;;1076;3. PHARMA;GROUPE MULTIPHARMA;4500439915;;M GRO;0032/25229300;0032/25299211;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;GROSSISTE;N/A;MAUREEN;649547;K-GEL DCH NECTAR ETE 200;30;;ADV;3/07/14;Cde +/- et refact T1 des produits livr_ en trop;2/07/14;Transp;3/07/14;;2/07/14;15/07/14;2/07/14;;MANQUE 30PCS A LA LIVR;;0030019646-1;4. Nvlle cmde + NC;;;;;
2182;30/06/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/06;30018581;360598;29.200,88;6,61;1076;3. PHARMA;GROUPE MULTIPHARMA;4500439873;;M GRO;0032/25229300;0032/25299211;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;MAUREEN;649706;K-GEL DCH JARDIN AQUA 200;3;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 3 PCS A LA LIVR - NC;0040001494-8;;4. Nvlle cmde + NC;;;;;
2183;19/05/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/05;30015408;355168;554,45;19,88;4216;5. DISTRIBUTEUR;AUCHAN LUXEMBOURG SA;197796;;A GRO;00352/429433;00352/4377431;2. Trop peu - Cr_diter;Transport;Casse;2. Trop peu - Cr_diterTransportCasse;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;520737;K-DUO LINGET BB;4;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;4 PCS ABIME A LA LIVR - DESTRUCT.;0040001495-7;;3. NC avec r_int_gration;;;;;
2184;19/05/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/05;30015763;355521;3.897,30;12,32;4216;5. DISTRIBUTEUR;AUCHAN LUXEMBOURG SA;198381;;A GRO;00352/429433;00352/4377431;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;AMINA;518428;K-BLEUET PATCH YX;2;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 2 PCS A LA LIVR - NC;0040001496-8;;4. Nvlle cmde + NC;;;;;
2185;29/04/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/04;30014022;352594;5.696,94;20,17;460010;6. GROSSISTES;FEBELCO CV;WI/337577;;F GRO; ; ;6. Erreur admin;ADV;Erreur facturation;6. Erreur adminADVErreur facturation;GROSSISTE;N/A;STEPHANIE;PLUSIEURS;0;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;ADV;4/07/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;2/07/14;4/07/14;2/07/14;;LITIGE ANNULE // DOUBLE AVEC LITIGE 2127/ NC ANNULEE PAR CDE 30020664-1 ;0040001497-8;0030019754-1;11. NC + refac;;;;;
2186;29/04/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/04;30014028;352596;15.433,26;105,37;460010;6. GROSSISTES;FEBELCO CV;WI/337540;;F GRO; ; ;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;STEPHANIE;PLUSIEURS;0;8;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;PAS RECU 6 DEPIG RICHE NC- RECU 2 FLUIDE AP RASAG ABIMES VIA RET MENSUELS NC;0040001498-8 / 0040001499-7;;4. Nvlle cmde + NC;;;;;
2187;25/06/14;ENZA;2/07/14;ENZA;2/07/14;ENZA;cloture;2014/06;30017497;359314;1.065,35;27,56;460001;6. GROSSISTES;FEBELCO CV;DI/580077;;F GRO;0032/13351422;0032/13351420;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;STEPHANIE;520928;K-SHP LIN 200ML;6;;ADV;3/07/14;VOIR ACTION 2;2/07/14;Transp;3/07/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);2/07/14;15/07/14;2/07/14;;MANQUE 6 SH LIN NC;0040001500-8;;4. Nvlle cmde + NC;;;;;
