Société;Date;CodeClient;NomClient;Categorie;Adresse;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
B1;17/11/2014 15:01:24;000009;GA PLANTIJN C.V.B.A.;PHARMACIENS;PLANTIJN MORETUSLEI_92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;PF377928;07/11/2014;07/12/2014;000377928;EUR;818,52
B1;17/11/2014 15:01:24;000010;APOT DE WATERKANT BVBA;PHARMACIENS;HENRI CARONSTRAAT_2/B;1560;HOEILAART;BE;NED;0032/26570359; ;PF375899;20/10/2014;19/11/2014;000375899;EUR;500,45
B1;17/11/2014 15:01:24;000011;PCIE DE SYLVA;PHARMACIENS;RUE ERNEST SALU_1;1090;JETTE;BE;FRA;0032/24785303; ;PF392215;20/06/2013;20/07/2013;000392215;EUR;-11,44
B1;17/11/2014 15:01:24;000012;FERBER HAIR & STYLE - BONNEVOIE;COIFFEURS;RUE DE LA REC. NATIONALE_19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;enzo@ferber.lu;PF371732;23/09/2014;23/10/2014;000371732;EUR;480,96
B1;17/11/2014 15:01:24;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF356575;21/05/2014;29/08/2014;000356575;EUR;512,37
B1;17/11/2014 15:01:24;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF363868;04/08/2014;29/11/2014;000363868;EUR;341,4
B1;17/11/2014 15:01:24;000517;ISPPC - COMPTABILITE;DIVERS;RUE DE GOZEE _706;6110*1;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;PF445312;08/09/2014;08/09/2014;000445312;EUR;-512,37
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF361674;04/07/2014;02/10/2014;000361674;EUR;246,57
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF362944;23/07/2014;21/10/2014;000362944;EUR;284,5
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363845;01/08/2014;30/10/2014;000363845;EUR;284,5
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF363846;01/08/2014;30/10/2014;000363846;EUR;273,12
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF364152;07/08/2014;05/11/2014;000364152;EUR;284,5
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF367689;02/09/2014;01/12/2014;000367689;EUR;246,57
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368195;04/09/2014;29/12/2014;000368195;EUR;341,4
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF368577;08/09/2014;07/12/2014;000368577;EUR;284,5
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF373891;01/10/2014;30/12/2014;000373891;EUR;246,57
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF374577;06/10/2014;04/01/2015;000374577;EUR;273,12
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF375506;15/10/2014;13/01/2015;000375506;EUR;246,57
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF375763;17/10/2014;15/01/2015;000375763;EUR;246,57
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF446630;17/10/2014;17/10/2014;000446630;EUR;-284,5
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF376889;27/10/2014;25/01/2015;000376889;EUR;295,88
B1;17/11/2014 15:01:24;000521;OLV ZKH;HOPITAUX/CLINIQUES;MOOORSELBAAN_164;9300;AALST;BE;NED;0032/53724402; ;PF377093;29/10/2014;27/01/2015;000377093;EUR;295,88
B1;17/11/2014 15:01:24;000547;AZ ST-DIMPNA;HOPITAUX/CLINIQUES;JB STESSENSSTRAAT_2;2440;GEEL;BE;NED;0032/14577449; ;PF377094;29/10/2014;28/11/2014;000377094;EUR;20,6
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF354241;30/04/2014;29/06/2014;000354241;EUR;358,66
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF360037;20/06/2014;29/08/2014;000360037;EUR;543,14
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF372061;24/09/2014;29/11/2014;000372061;EUR;325,88
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF373349;29/09/2014;29/11/2014;000373349;EUR;325,88
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF373892;01/10/2014;30/12/2014;000373892;EUR;724,19
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF375173;13/10/2014;30/12/2014;000375173;EUR;325,88
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF377326;31/10/2014;30/12/2014;000377326;EUR;724,19
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF378123;12/11/2014;29/01/2015;000378123;EUR;724,19
B1;17/11/2014 15:01:24;000551;AZ VUB;HOPITAUX/CLINIQUES;LAARBEEKLAAN_101;1090;JETTE;BE;FRA;0032/24775520; ;PF378124;12/11/2014;29/01/2015;000378124;EUR;325,88
B1;17/11/2014 15:01:24;000577;CHU DE TIVOLI;HOPITAUX/CLINIQUES;AVENUE MAX BUSET_34;7100*3;LA LOUVIERE;BE;FRA;0032/64276332; ;PF364252;08/08/2014;06/11/2014;000364252;EUR;19,97
B1;17/11/2014 15:01:24;000577;CHU DE TIVOLI;HOPITAUX/CLINIQUES;AVENUE MAX BUSET_34;7100*3;LA LOUVIERE;BE;FRA;0032/64276332; ;PF366269;26/08/2014;24/11/2014;000366269;EUR;7,99
B1;17/11/2014 15:01:24;000577;CHU DE TIVOLI;HOPITAUX/CLINIQUES;AVENUE MAX BUSET_34;7100*3;LA LOUVIERE;BE;FRA;0032/64276332; ;PF370103;16/09/2014;15/12/2014;000370103;EUR;19,97
B1;17/11/2014 15:01:24;000601;AZ ALMA CAMPUS EEKLO;HOPITAUX/CLINIQUES;GENTSESTEENWEG _132;8340*6;SIJSELE;BE;NED;0032/93760420; ;PF377654;05/11/2014;04/01/2015;000377654;EUR;117,98
B1;17/11/2014 15:01:24;000601;AZ ALMA CAMPUS EEKLO;HOPITAUX/CLINIQUES;GENTSESTEENWEG _132;8340*6;SIJSELE;BE;NED;0032/93760420; ;PF377929;07/11/2014;06/01/2015;000377929;EUR;79,86
B1;17/11/2014 15:01:24;000606;AZ NIKOLAAS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37607525; ;PF364005;05/08/2014;03/11/2014;000364005;EUR;815,12
B1;17/11/2014 15:01:24;000606;AZ NIKOLAAS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37607525; ;PF370770;18/09/2014;17/12/2014;000370770;EUR;3,99
B1;17/11/2014 15:01:24;000606;AZ NIKOLAAS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37607525; ;PF376778;24/10/2014;22/01/2015;000376778;EUR;7,99
B1;17/11/2014 15:01:24;000606;AZ NIKOLAAS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37607525; ;PF378283;13/11/2014;28/02/2015;000378283;EUR;652,09
B1;17/11/2014 15:01:24;000625;AZ HEILIGE FAMILIE;HOPITAUX/CLINIQUES;S HERENBAAN_172;2840*1;REET;BE;NED;0032/38809011; ;PF372924;26/09/2014;25/12/2014;000372924;EUR;407,56
B1;17/11/2014 15:01:24;000636;CHU BRUGMANN - HUDERF;HOPITAUX/CLINIQUES;PLACE A.VAN GEHUCHTEN_4;1020;LAEKEN;BE;FRA;0032/24773444; ;PF311710;23/04/2013;23/05/2013;000311710;EUR;259,52
B1;17/11/2014 15:01:24;000636;CHU BRUGMANN - HUDERF;HOPITAUX/CLINIQUES;PLACE A.VAN GEHUCHTEN_4;1020;LAEKEN;BE;FRA;0032/24773444; ;PF315302;06/06/2013;06/07/2013;000315302;EUR;333,67
B1;17/11/2014 15:01:24;000636;CHU BRUGMANN - HUDERF;HOPITAUX/CLINIQUES;PLACE A.VAN GEHUCHTEN_4;1020;LAEKEN;BE;FRA;0032/24773444; ;PF319168;23/07/2013;22/08/2013;000319168;EUR;287,5
B1;17/11/2014 15:01:24;000636;CHU BRUGMANN - HUDERF;HOPITAUX/CLINIQUES;PLACE A.VAN GEHUCHTEN_4;1020;LAEKEN;BE;FRA;0032/24773444; ;ERR315302;21/10/2013;21/10/2013;S00013232;EUR;-183,04
B1;17/11/2014 15:01:24;000636;CHU BRUGMANN - HUDERF;HOPITAUX/CLINIQUES;PLACE A.VAN GEHUCHTEN_4;1020;LAEKEN;BE;FRA;0032/24773444; ;PF366270;26/08/2014;25/09/2014;000366270;EUR;287,5
B1;17/11/2014 15:01:24;000688;AZ MARIA MIDDELARES CAMPUS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37804021; ;PF364951;20/08/2014;29/11/2014;000364951;EUR;652,09
B1;17/11/2014 15:01:24;000688;AZ MARIA MIDDELARES CAMPUS;HOPITAUX/CLINIQUES;GASTHUISSTRAAT_5;9140*3;TEMSE;BE;NED;0032/37804021; ;PF367690;02/09/2014;29/12/2014;000367690;EUR;815,12
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF363721;31/07/2014;29/10/2014;000363721;EUR;113,8
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF444762;05/08/2014;05/08/2014;000444762;EUR;-113,8
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF366568;27/08/2014;29/11/2014;000366568;EUR;113,8
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF368196;04/09/2014;29/12/2014;000368196;EUR;56,9
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF370104;16/09/2014;29/12/2014;000370104;EUR;170,7
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF375507;15/10/2014;29/01/2015;000375507;EUR;85,35
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF376779;24/10/2014;29/01/2015;000376779;EUR;85,35
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF377327;31/10/2014;29/01/2015;000377327;EUR;170,7
B1;17/11/2014 15:01:24;000705;CH DE MOUSCRON;HOPITAUX/CLINIQUES;AVENUE DE FECAMP_49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;PF378284;13/11/2014;28/02/2015;000378284;EUR;56,9
B1;17/11/2014 15:01:24;000778;HEILIG HARTZIEKENHUIS MOL;HOPITAUX/CLINIQUES;GASTHUISSTRAAT 1;2400;MOL;BE;NED;0032/14712288; ;PF378125;12/11/2014;28/02/2015;000378125;EUR;113,8
